place_name,place_type,year,quarter,value
אבו גוש,מועצה מקומית,2012,1,77.0
אבו גוש,מועצה מקומית,2012,2,55.0
אבו גוש,מועצה מקומית,2012,3,47.0
אבו גוש,מועצה מקומית,2012,4,31.0
אבו גוש,מועצה מקומית,2013,1,21.0
אבו גוש,מועצה מקומית,2013,2,23.0
אבו גוש,מועצה מקומית,2013,3,43.0
אבו גוש,מועצה מקומית,2013,4,12.0
אבו גוש,מועצה מקומית,2014,1,110.0
אבו גוש,מועצה מקומית,2014,2,22.0
אבו גוש,מועצה מקומית,2014,3,58.0
אבו גוש,מועצה מקומית,2014,4,85.0
אבו גוש,מועצה מקומית,2015,1,74.0
אבו גוש,מועצה מקומית,2015,2,35.0
אבו גוש,מועצה מקומית,2015,3,76.0
אבו גוש,מועצה מקומית,2015,4,99.0
אבו גוש,מועצה מקומית,2016,1,30.0
אבו גוש,מועצה מקומית,2016,2,22.0
אבו גוש,מועצה מקומית,2016,3,33.0
אבו גוש,מועצה מקומית,2016,4,58.0
אבו גוש,מועצה מקומית,2017,1,83.0
אבו גוש,מועצה מקומית,2017,2,20.0
אום אל פחם,עירייה,2012,1,687.0
אום אל פחם,עירייה,2012,2,288.0
אום אל פחם,עירייה,2012,3,240.0
אום אל פחם,עירייה,2012,4,286.0
אום אל פחם,עירייה,2013,1,617.0
אום אל פחם,עירייה,2013,2,671.0
אום אל פחם,עירייה,2013,3,435.0
אום אל פחם,עירייה,2013,4,247.0
אום אל פחם,עירייה,2014,1,535.0
אום אל פחם,עירייה,2014,2,427.0
אום אל פחם,עירייה,2014,3,236.0
אום אל פחם,עירייה,2014,4,257.0
אום אל פחם,עירייה,2015,1,598.0
אום אל פחם,עירייה,2015,2,432.0
אום אל פחם,עירייה,2015,3,391.0
אום אל פחם,עירייה,2015,4,297.0
אום אל פחם,עירייה,2016,1,824.0
אום אל פחם,עירייה,2016,2,696.0
אום אל פחם,עירייה,2016,3,653.0
אום אל פחם,עירייה,2016,4,878.0
אום אל פחם,עירייה,2017,1,1085.0
אום אל פחם,עירייה,2017,2,732.0
אופקים,עירייה,2012,1,239.0
אופקים,עירייה,2012,2,266.0
אופקים,עירייה,2012,3,390.0
אופקים,עירייה,2012,4,209.0
אופקים,עירייה,2013,1,269.0
אופקים,עירייה,2013,2,428.0
אופקים,עירייה,2013,3,410.0
אופקים,עירייה,2013,4,296.0
אופקים,עירייה,2014,1,413.0
אופקים,עירייה,2014,2,290.0
אופקים,עירייה,2014,3,186.0
אופקים,עירייה,2014,4,232.0
אופקים,עירייה,2015,1,296.0
אופקים,עירייה,2015,2,266.0
אופקים,עירייה,2015,3,373.0
אופקים,עירייה,2015,4,286.0
אופקים,עירייה,2016,1,465.0
אופקים,עירייה,2016,2,396.0
אופקים,עירייה,2016,3,586.0
אופקים,עירייה,2016,4,415.0
אופקים,עירייה,2017,1,489.0
אופקים,עירייה,2017,2,173.0
אור יהודה,עירייה,2012,1,441.0
אור יהודה,עירייה,2012,2,430.0
אור יהודה,עירייה,2012,3,428.0
אור יהודה,עירייה,2012,4,567.0
אור יהודה,עירייה,2013,1,678.0
אור יהודה,עירייה,2013,2,486.0
אור יהודה,עירייה,2013,3,386.0
אור יהודה,עירייה,2013,4,366.0
אור יהודה,עירייה,2014,1,312.0
אור יהודה,עירייה,2014,2,468.0
אור יהודה,עירייה,2014,3,291.0
אור יהודה,עירייה,2014,4,290.0
אור יהודה,עירייה,2015,1,349.0
אור יהודה,עירייה,2015,2,502.0
אור יהודה,עירייה,2015,3,355.0
אור יהודה,עירייה,2015,4,348.0
אור יהודה,עירייה,2016,1,591.0
אור יהודה,עירייה,2016,2,675.0
אור יהודה,עירייה,2016,3,558.0
אור יהודה,עירייה,2016,4,641.0
אור יהודה,עירייה,2017,1,1126.0
אור יהודה,עירייה,2017,2,512.0
אור עקיבא,עירייה,2012,1,155.0
אור עקיבא,עירייה,2012,2,125.0
אור עקיבא,עירייה,2012,3,242.0
אור עקיבא,עירייה,2012,4,188.0
אור עקיבא,עירייה,2013,1,581.0
אור עקיבא,עירייה,2013,2,333.0
אור עקיבא,עירייה,2013,3,288.0
אור עקיבא,עירייה,2013,4,464.0
אור עקיבא,עירייה,2014,1,413.0
אור עקיבא,עירייה,2014,2,422.0
אור עקיבא,עירייה,2014,3,609.0
אור עקיבא,עירייה,2014,4,749.0
אור עקיבא,עירייה,2015,1,708.0
אור עקיבא,עירייה,2015,2,343.0
אור עקיבא,עירייה,2015,3,426.0
אור עקיבא,עירייה,2015,4,122.0
אור עקיבא,עירייה,2016,1,403.0
אור עקיבא,עירייה,2016,2,152.0
אור עקיבא,עירייה,2016,3,105.0
אור עקיבא,עירייה,2016,4,124.0
אור עקיבא,עירייה,2017,1,149.0
אור עקיבא,עירייה,2017,2,234.0
אילת,עירייה,2012,1,1357.0
אילת,עירייה,2012,2,1671.0
אילת,עירייה,2012,3,2128.0
אילת,עירייה,2012,4,1575.0
אילת,עירייה,2013,1,1687.0
אילת,עירייה,2013,2,1862.0
אילת,עירייה,2013,3,2260.0
אילת,עירייה,2013,4,2149.0
אילת,עירייה,2014,1,2112.0
אילת,עירייה,2014,2,2359.0
אילת,עירייה,2014,3,2701.0
אילת,עירייה,2014,4,3087.0
אילת,עירייה,2015,1,2179.0
אילת,עירייה,2015,2,2039.0
אילת,עירייה,2015,3,2091.0
אילת,עירייה,2015,4,1004.0
אילת,עירייה,2016,1,1488.0
אילת,עירייה,2016,2,2319.0
אילת,עירייה,2016,3,2785.0
אילת,עירייה,2016,4,2236.0
אילת,עירייה,2017,1,1753.0
אילת,עירייה,2017,2,481.0
אלעד,עירייה,2012,1,284.0
אלעד,עירייה,2012,2,172.0
אלעד,עירייה,2012,3,230.0
אלעד,עירייה,2012,4,86.0
אלעד,עירייה,2013,1,132.0
אלעד,עירייה,2013,2,95.0
אלעד,עירייה,2013,3,147.0
אלעד,עירייה,2013,4,246.0
אלעד,עירייה,2014,1,263.0
אלעד,עירייה,2014,2,256.0
אלעד,עירייה,2014,3,278.0
אלעד,עירייה,2014,4,134.0
אלעד,עירייה,2015,1,319.0
אלעד,עירייה,2015,2,556.0
אלעד,עירייה,2015,3,714.0
אלעד,עירייה,2015,4,1041.0
אלעד,עירייה,2016,1,926.0
אלעד,עירייה,2016,2,589.0
אלעד,עירייה,2016,3,625.0
אלעד,עירייה,2016,4,477.0
אלעד,עירייה,2017,1,618.0
אלעד,עירייה,2017,2,272.0
אריאל,עירייה,2012,1,208.0
אריאל,עירייה,2012,2,187.0
אריאל,עירייה,2012,3,218.0
אריאל,עירייה,2012,4,311.0
אריאל,עירייה,2013,1,175.0
