place_name,place_type,year_quarter,value,source_sheet,id
נוב,מועצה אזורית גולן,2012_1,0,1,0
נוב,מועצה אזורית גולן,2012_2,1.0,1,1
נוב,מועצה אזורית גולן,2012_3,0,1,2
נוב,מועצה אזורית גולן,2012_4,0,1,3
נוב,מועצה אזורית גולן,2013_1,1.0,1,4
נוב,מועצה אזורית גולן,2013_2,1.0,1,5
נוב,מועצה אזורית גולן,2013_3,2.0,1,6
נוב,מועצה אזורית גולן,2013_4,0,1,7
נוב,מועצה אזורית גולן,2014_1,0,1,8
נוב,מועצה אזורית גולן,2014_2,1.0,1,9
נוב,מועצה אזורית גולן,2014_3,0,1,10
נוב,מועצה אזורית גולן,2014_4,0,1,11
נוב,מועצה אזורית גולן,2015_1,1.0,1,12
נוב,מועצה אזורית גולן,2015_2,0,1,13
נוב,מועצה אזורית גולן,2015_3,0,1,14
נוב,מועצה אזורית גולן,2015_4,0,1,15
נוב,מועצה אזורית גולן,2016_1,0,1,16
נוב,מועצה אזורית גולן,2016_2,0,1,17
נוב,מועצה אזורית גולן,2016_3,0,1,18
נוב,מועצה אזורית גולן,2016_4,0,1,19
נוב,מועצה אזורית גולן,2017_1,1.0,1,20
נוב,מועצה אזורית גולן,2017_2,0,1,21
אבו גוש,מועצה מקומית,2012_1,77.0,1,22
אבו גוש,מועצה מקומית,2012_2,55.0,1,23
אבו גוש,מועצה מקומית,2012_3,47.0,1,24
אבו גוש,מועצה מקומית,2012_4,31.0,1,25
אבו גוש,מועצה מקומית,2013_1,21.0,1,26
אבו גוש,מועצה מקומית,2013_2,23.0,1,27
אבו גוש,מועצה מקומית,2013_3,43.0,1,28
אבו גוש,מועצה מקומית,2013_4,12.0,1,29
אבו גוש,מועצה מקומית,2014_1,110.0,1,30
אבו גוש,מועצה מקומית,2014_2,22.0,1,31
אבו גוש,מועצה מקומית,2014_3,58.0,1,32
אבו גוש,מועצה מקומית,2014_4,85.0,1,33
אבו גוש,מועצה מקומית,2015_1,74.0,1,34
אבו גוש,מועצה מקומית,2015_2,35.0,1,35
אבו גוש,מועצה מקומית,2015_3,76.0,1,36
אבו גוש,מועצה מקומית,2015_4,99.0,1,37
אבו גוש,מועצה מקומית,2016_1,30.0,1,38
אבו גוש,מועצה מקומית,2016_2,22.0,1,39
אבו גוש,מועצה מקומית,2016_3,33.0,1,40
אבו גוש,מועצה מקומית,2016_4,58.0,1,41
אבו גוש,מועצה מקומית,2017_1,83.0,1,42
אבו גוש,מועצה מקומית,2017_2,20.0,1,43
אום אל פחם,עירייה,2012_1,687.0,1,44
אום אל פחם,עירייה,2012_2,288.0,1,45
אום אל פחם,עירייה,2012_3,240.0,1,46
אום אל פחם,עירייה,2012_4,286.0,1,47
אום אל פחם,עירייה,2013_1,617.0,1,48
אום אל פחם,עירייה,2013_2,671.0,1,49
אום אל פחם,עירייה,2013_3,435.0,1,50
אום אל פחם,עירייה,2013_4,247.0,1,51
אום אל פחם,עירייה,2014_1,535.0,1,52
אום אל פחם,עירייה,2014_2,427.0,1,53
אום אל פחם,עירייה,2014_3,236.0,1,54
אום אל פחם,עירייה,2014_4,257.0,1,55
אום אל פחם,עירייה,2015_1,598.0,1,56
אום אל פחם,עירייה,2015_2,432.0,1,57
אום אל פחם,עירייה,2015_3,391.0,1,58
אום אל פחם,עירייה,2015_4,297.0,1,59
אום אל פחם,עירייה,2016_1,824.0,1,60
אום אל פחם,עירייה,2016_2,696.0,1,61
אום אל פחם,עירייה,2016_3,653.0,1,62
אום אל פחם,עירייה,2016_4,878.0,1,63
אום אל פחם,עירייה,2017_1,1085.0,1,64
אום אל פחם,עירייה,2017_2,732.0,1,65
אופקים,עירייה,2012_1,239.0,1,66
אופקים,עירייה,2012_2,266.0,1,67
אופקים,עירייה,2012_3,390.0,1,68
אופקים,עירייה,2012_4,209.0,1,69
אופקים,עירייה,2013_1,269.0,1,70
אופקים,עירייה,2013_2,428.0,1,71
אופקים,עירייה,2013_3,410.0,1,72
אופקים,עירייה,2013_4,296.0,1,73
אופקים,עירייה,2014_1,413.0,1,74
אופקים,עירייה,2014_2,290.0,1,75
אופקים,עירייה,2014_3,186.0,1,76
אופקים,עירייה,2014_4,232.0,1,77
אופקים,עירייה,2015_1,296.0,1,78
אופקים,עירייה,2015_2,266.0,1,79
אופקים,עירייה,2015_3,373.0,1,80
אופקים,עירייה,2015_4,286.0,1,81
אופקים,עירייה,2016_1,465.0,1,82
אופקים,עירייה,2016_2,396.0,1,83
אופקים,עירייה,2016_3,586.0,1,84
אופקים,עירייה,2016_4,415.0,1,85
אופקים,עירייה,2017_1,489.0,1,86
אופקים,עירייה,2017_2,173.0,1,87
אור יהודה,עירייה,2012_1,441.0,1,88
אור יהודה,עירייה,2012_2,430.0,1,89
אור יהודה,עירייה,2012_3,428.0,1,90
אור יהודה,עירייה,2012_4,567.0,1,91
אור יהודה,עירייה,2013_1,678.0,1,92
אור יהודה,עירייה,2013_2,486.0,1,93
אור יהודה,עירייה,2013_3,386.0,1,94
אור יהודה,עירייה,2013_4,366.0,1,95
אור יהודה,עירייה,2014_1,312.0,1,96
אור יהודה,עירייה,2014_2,468.0,1,97
אור יהודה,עירייה,2014_3,291.0,1,98
אור יהודה,עירייה,2014_4,290.0,1,99
אור יהודה,עירייה,2015_1,349.0,1,100
אור יהודה,עירייה,2015_2,502.0,1,101
אור יהודה,עירייה,2015_3,355.0,1,102
אור יהודה,עירייה,2015_4,348.0,1,103
אור יהודה,עירייה,2016_1,591.0,1,104
אור יהודה,עירייה,2016_2,675.0,1,105
אור יהודה,עירייה,2016_3,558.0,1,106
אור יהודה,עירייה,2016_4,641.0,1,107
אור יהודה,עירייה,2017_1,1126.0,1,108
אור יהודה,עירייה,2017_2,512.0,1,109
אור עקיבא,עירייה,2012_1,155.0,1,110
אור עקיבא,עירייה,2012_2,125.0,1,111
אור עקיבא,עירייה,2012_3,242.0,1,112
אור עקיבא,עירייה,2012_4,188.0,1,113
אור עקיבא,עירייה,2013_1,581.0,1,114
אור עקיבא,עירייה,2013_2,333.0,1,115
אור עקיבא,עירייה,2013_3,288.0,1,116
אור עקיבא,עירייה,2013_4,464.0,1,117
אור עקיבא,עירייה,2014_1,413.0,1,118
אור עקיבא,עירייה,2014_2,422.0,1,119
אור עקיבא,עירייה,2014_3,609.0,1,120
אור עקיבא,עירייה,2014_4,749.0,1,121
אור עקיבא,עירייה,2015_1,708.0,1,122
אור עקיבא,עירייה,2015_2,343.0,1,123
אור עקיבא,עירייה,2015_3,426.0,1,124
אור עקיבא,עירייה,2015_4,122.0,1,125
אור עקיבא,עירייה,2016_1,403.0,1,126
אור עקיבא,עירייה,2016_2,152.0,1,127
אור עקיבא,עירייה,2016_3,105.0,1,128
אור עקיבא,עירייה,2016_4,124.0,1,129
אור עקיבא,עירייה,2017_1,149.0,1,130
אור עקיבא,עירייה,2017_2,234.0,1,131
אילת,עירייה,2012_1,1357.0,1,132
אילת,עירייה,2012_2,1671.0,1,133
אילת,עירייה,2012_3,2128.0,1,134
אילת,עירייה,2012_4,1575.0,1,135
אילת,עירייה,2013_1,1687.0,1,136
אילת,עירייה,2013_2,1862.0,1,137
אילת,עירייה,2013_3,2260.0,1,138
אילת,עירייה,2013_4,2149.0,1,139
אילת,עירייה,2014_1,2112.0,1,140
אילת,עירייה,2014_2,2359.0,1,141
אילת,עירייה,2014_3,2701.0,1,142
אילת,עירייה,2014_4,3087.0,1,143
אילת,עירייה,2015_1,2179.0,1,144
אילת,עירייה,2015_2,2039.0,1,145
אילת,עירייה,2015_3,2091.0,1,146
אילת,עירייה,2015_4,1004.0,1,147
אילת,עירייה,2016_1,1488.0,1,148
אילת,עירייה,2016_2,2319.0,1,149
אילת,עירייה,2016_3,2785.0,1,150
אילת,עירייה,2016_4,2236.0,1,151
אילת,עירייה,2017_1,1753.0,1,152
אילת,עירייה,2017_2,481.0,1,153
אלעד,עירייה,2012_1,284.0,1,154
אלעד,עירייה,2012_2,172.0,1,155
אלעד,עירייה,2012_3,230.0,1,156
אלעד,עירייה,2012_4,86.0,1,157
אלעד,עירייה,2013_1,132.0,1,158
אלעד,עירייה,2013_2,95.0,1,159
אלעד,עירייה,2013_3,147.0,1,160
אלעד,עירייה,2013_4,246.0,1,161
אלעד,עירייה,2014_1,263.0,1,162
אלעד,עירייה,2014_2,256.0,1,163
אלעד,עירייה,2014_3,278.0,1,164
אלעד,עירייה,2014_4,134.0,1,165
אלעד,עירייה,2015_1,319.0,1,166
אלעד,עירייה,2015_2,556.0,1,167
אלעד,עירייה,2015_3,714.0,1,168
אלעד,עירייה,2015_4,1041.0,1,169
אלעד,עירייה,2016_1,926.0,1,170
אלעד,עירייה,2016_2,589.0,1,171
אלעד,עירייה,2016_3,625.0,1,172
אלעד,עירייה,2016_4,477.0,1,173
אלעד,עירייה,2017_1,618.0,1,174
אלעד,עירייה,2017_2,272.0,1,175
אריאל,עירייה,2012_1,208.0,1,176
אריאל,עירייה,2012_2,187.0,1,177
אריאל,עירייה,2012_3,218.0,1,178
אריאל,עירייה,2012_4,311.0,1,179
אריאל,עירייה,2013_1,175.0,1,180
אריאל,עירייה,2013_2,182.0,1,181
אריאל,עירייה,2013_3,118.0,1,182
אריאל,עירייה,2013_4,336.0,1,183
אריאל,עירייה,2014_1,380.0,1,184
אריאל,עירייה,2014_2,320.0,1,185
אריאל,עירייה,2014_3,287.0,1,186
אריאל,עירייה,2014_4,383.0,1,187
אריאל,עירייה,2015_1,501.0,1,188
אריאל,עירייה,2015_2,352.0,1,189
אריאל,עירייה,2015_3,186.0,1,190
אריאל,עירייה,2015_4,425.0,1,191
אריאל,עירייה,2016_1,418.0,1,192
אריאל,עירייה,2016_2,364.0,1,193
אריאל,עירייה,2016_3,388.0,1,194
אריאל,עירייה,2016_4,527.0,1,195
אריאל,עירייה,2017_1,596.0,1,196
אריאל,עירייה,2017_2,225.0,1,197
אשדוד,עירייה,2012_1,1421.0,1,198
אשדוד,עירייה,2012_2,1634.0,1,199
אשדוד,עירייה,2012_3,2100.0,1,200
אשדוד,עירייה,2012_4,1699.0,1,201
אשדוד,עירייה,2013_1,2345.0,1,202
אשדוד,עירייה,2013_2,3166.0,1,203
